"","abortion","age","bible","black","church","church.abortion","church.ssm","education","evangelical","federal.funds","female","gop.exceptions","ideology","income","incorrect.rps.abortion","incorrect.rps.ssm","insurance","mainline","partyid","pro.choice.count","romancatholic","rps.abortion","rps.ssm","secular.knowledge","ssm","tradition","week.20","weight","bible.collapsed","education.collapsed","ideology.collapsed","income.collapsed","ambiguous"
"826",1,60,3,0,1,"Standard GOP Exceptions","Yes to Civil Unions",1,0,1,0,0,3,6,1,1,1,0,3,3,1,0,0,0,1,"Roman Catholic Church",0,0.632719045811647,2,0,2,6,0
"828",1,24,3,0,4,"Establish Need","No to Both",3,1,1,0,1,4,5,1,0,0,0,6,3,0,0,1,1,0,"Evangelical Protestant",0,5.10958465622803,2,2,2,5,0
"829",1,28,3,0,2,"DK","No to Both",2,1,0,1,0,2,3,0,0,1,0,5,2,0,0,1,1,0,"Evangelical Protestant",0,0.76719923516772,2,1,1,3,0
"830",1,60,2,0,1,"DK","Yes to Civil Unions",1,0,0,1,0,3,3,0,0,0,1,6,1,0,0,1,0,0,"Mainline Protestant",0,0.958212806291096,1,0,2,3,0
"832",1,39,2,1,1,"Always Permit","Yes to Both",4,0,1,1,0,1,12,1,1,1,0,1,3,1,0,0,0,1,"Roman Catholic Church",0,0.22743472099262,1,3,0,11,0
"835",0,69,2,0,4,"Standard GOP Exceptions","No to Both",1,1,0,0,0,4,4,0,0,0,0,6,0,0,1,1,0,0,"Evangelical Protestant",0,0.611959967006712,1,0,2,4,0
"836",0,30,0,0,1,"Standard GOP Exceptions","Yes to Both",2,0,0,1,0,3,2,1,0,0,1,5,0,0,0,1,0,1,"Mainline Protestant",0,1.01051332281708,0,1,2,2,0
"838",1,57,NA,0,0,"Not Available","Not Available",1,0,1,1,1,NA,3,NA,NA,1,0,1,5,1,NA,NA,0,1,"Roman Catholic Church",1,0.231277846718097,NA,0,NA,3,0
"839",0,24,3,1,3,"Standard GOP Exceptions","Yes to Both",2,1,1,1,0,NA,5,0,1,1,0,0,3,0,1,0,0,1,"Evangelical Protestant",1,0.83026963076604,2,1,NA,5,0
"840",0,22,3,0,1,"Standard GOP Exceptions","DK",3,1,0,1,0,3,5,0,0,0,0,6,0,0,1,0,0,0,"Evangelical Protestant - Ambiguous",0,2.52087204508718,2,2,2,5,1
"841",1,33,NA,0,0,"Not Available","Not Available",2,0,0,0,1,NA,1,NA,NA,1,0,3,3,1,NA,NA,0,1,"Roman Catholic Church",0,0.0846735365538587,NA,1,NA,1,0
"842",0,81,2,0,4,"Standard GOP Exceptions","Yes to Civil Unions",1,0,1,1,0,3,3,1,1,1,0,6,2,1,0,0,2,1,"Roman Catholic Church",0,1.29372227753782,1,0,2,3,0
"844",0,58,3,0,4,"DK","DK",1,0,0,1,1,3,7,0,0,0,1,6,1,0,0,0,0,0,"Mainline Protestant",0,0.958212806291096,2,0,2,7,0
"848",0,52,2,0,2,"DK","No to Both",1,0,1,1,0,3,1,0,0,1,0,3,2,1,0,1,0,0,"Roman Catholic Church",0,0.424334470822179,1,0,2,1,0
"850",1,18,NA,1,5,"Not Available","Not Available",0,1,1,1,1,1,NA,NA,NA,1,0,2,5,0,NA,NA,0,1,"Evangelical Protestant",1,5.16308086677229,NA,0,0,NA,0
"853",0,65,2,0,4,"Standard GOP Exceptions","No to Both",1,0,0,0,0,4,10,1,0,0,0,6,0,1,0,1,2,0,"Roman Catholic Church",0,0.742472673097151,1,0,2,10,0
"855",0,65,3,0,4,"Standard GOP Exceptions","No to Both",1,1,0,1,0,4,4,0,0,0,0,6,0,0,1,1,0,0,"Evangelical Protestant",0,0.44357862967577,2,0,2,4,0
"856",1,20,NA,0,3,"Not Available","Not Available",2,0,1,1,1,0,NA,NA,NA,1,0,0,4,1,NA,NA,2,1,"Roman Catholic Church",0,0.330423899641706,NA,1,0,NA,0
"857",0,25,NA,0,2,"Not Available","Not Available",4,0,0,1,0,3,8,NA,NA,0,1,6,0,0,NA,NA,2,0,"Mainline Protestant",0,0.325507785414386,NA,3,2,8,0
"858",1,72,NA,1,2,"Not Available","Not Available",2,1,1,0,0,2,8,NA,NA,1,0,3,3,0,NA,NA,0,0,"Evangelical Protestant",0,0.15204099527059,NA,1,1,8,0
"859",1,41,2,0,1,"Never Permit","DK",2,0,1,0,0,2,6,0,0,1,0,1,4,1,1,0,1,1,"Roman Catholic Church",1,0.471206191861715,1,1,1,6,0
"860",0,19,3,0,5,"Never Permit","No to Both",2,1,0,1,1,4,11,0,0,0,0,6,1,0,1,1,2,0,"Evangelical Protestant - Ambiguous",0,1.02325337313337,2,1,2,11,1
"861",1,23,0,0,4,"DK","DK",4,1,1,0,0,3,3,0,0,0,0,0,3,0,0,0,1,1,"Evangelical Protestant",1,0.611730515278926,0,3,2,3,0
"867",1,57,3,0,4,"Establish Need","Yes to Both",1,1,0,0,0,2,2,1,1,1,0,5,2,0,0,0,2,1,"Evangelical Protestant",0,0.886584201268998,2,0,1,2,0
"869",0,25,3,1,4,"Never Permit","DK",4,1,0,1,1,2,3,0,0,0,0,1,1,0,1,0,1,0,"Evangelical Protestant",0,1.39998994789716,2,3,1,3,0
"876",1,36,1,0,1,"Never Permit","Yes to Both",1,0,1,1,0,2,3,0,1,1,0,1,3,1,1,0,0,1,"Roman Catholic Church",0,0.328970457544978,0,0,1,3,0
"879",1,64,2,0,2,"Establish Need","Yes to Both",1,0,1,1,0,2,4,1,1,1,0,6,4,1,0,0,2,1,"Roman Catholic Church",1,0.691499185929171,1,0,1,4,0
"880",1,27,2,0,1,"Always Permit","Yes to Both",4,0,0,1,1,2,3,1,1,1,0,0,3,1,0,0,1,1,"Roman Catholic Church",0,0.351025306304715,1,3,1,3,0
"881",1,53,2,0,3,"Never Permit","No to Both",2,0,0,1,1,2,1,1,1,0,1,6,2,0,0,0,1,1,"Mainline Protestant - Ambiguous",0,0.825668621264347,1,1,1,1,1
"882",1,52,NA,1,5,"Not Available","Not Available",3,1,0,1,1,2,4,NA,NA,1,0,0,3,0,NA,NA,2,0,"Evangelical Protestant",0,0.299886306811198,NA,2,1,4,0
"884",0,52,NA,0,4,"Not Available","Not Available",1,0,0,1,1,3,6,NA,NA,0,1,6,1,0,NA,NA,0,0,"Mainline Protestant",0,0.516473433224358,NA,0,2,6,0
"886",1,22,NA,0,2,"Not Available","Not Available",2,0,0,1,1,2,NA,NA,NA,1,1,5,3,0,NA,NA,2,1,"Mainline Protestant - Ambiguous",0,0.476176385191417,NA,1,1,NA,1
"887",1,44,2,0,2,"Always Permit","Yes to Both",1,1,1,1,0,2,7,1,1,0,0,3,2,0,0,0,0,1,"Evangelical Protestant - Ambiguous",0,0.363291250734125,1,0,1,7,1
"889",0,24,3,0,3,"Never Permit","Yes to Both",4,0,0,1,0,2,NA,0,1,1,0,1,1,1,1,0,2,1,"Roman Catholic Church",0,0.501326694845906,2,3,1,NA,0
"890",1,53,NA,0,1,"Not Available","Not Available",1,0,0,1,0,2,6,NA,NA,1,0,NA,2,1,NA,NA,0,1,"Roman Catholic Church",0,0.598993184369252,NA,0,1,6,0
"892",1,67,2,0,4,"Always Permit","DK",1,0,1,1,0,NA,2,1,0,0,0,5,3,1,0,0,1,0,"Roman Catholic Church",1,0.229814443311911,1,0,NA,2,0
"893",0,28,3,0,0,"Standard GOP Exceptions","Yes to Both",2,0,1,1,0,2,2,1,0,0,1,3,1,0,0,1,0,1,"Mainline Protestant - Ambiguous",0,1.45122380341756,2,1,1,2,1
"894",0,19,NA,0,1,"Not Available","Not Available",1,0,1,0,0,2,2,NA,NA,0,0,3,1,1,NA,NA,1,1,"Roman Catholic Church",0,2.85121332721353,NA,0,1,2,0
"895",1,29,NA,1,5,"Not Available","Not Available",2,1,1,1,1,0,1,NA,NA,1,0,2,5,0,NA,NA,0,1,"Evangelical Protestant",1,0.360940694583032,NA,1,0,1,0
"898",1,51,NA,0,4,"Not Available","Not Available",1,0,1,1,0,2,4,NA,NA,0,0,5,3,1,NA,NA,0,1,"Roman Catholic Church",1,0.757469510921427,NA,0,1,4,0
"900",1,20,1,0,1,"Always Permit","DK",2,0,1,1,0,NA,NA,1,0,1,0,2,3,1,0,0,0,1,"Roman Catholic Church",0,0.774531055757135,0,1,NA,NA,0
"901",0,76,NA,0,1,"Not Available","Not Available",1,0,0,1,0,3,2,NA,NA,1,1,6,1,0,NA,NA,0,0,"Mainline Protestant",0,0.509814525059471,NA,0,2,2,0
"907",0,56,2,0,3,"Never Permit","No to Both",1,1,0,0,0,2,3,0,0,0,0,5,0,0,1,1,2,0,"Evangelical Protestant",0,0.886584201268998,1,0,1,3,0
"908",1,52,2,0,1,"Always Permit","DK",1,0,1,1,1,NA,0,1,0,1,0,1,4,1,0,0,1,1,"Roman Catholic Church",0,0.231277846718097,1,0,NA,0,0
"909",1,45,2,0,3,"Standard GOP Exceptions","Yes to Civil Unions",1,1,1,1,1,2,2,0,1,1,0,5,4,0,1,0,1,0,"Evangelical Protestant",0,0.503691539194108,1,0,1,2,0
"911",1,47,2,0,4,"Standard GOP Exceptions","No to Both",1,1,0,1,NA,2,2,0,0,1,0,0,NA,0,1,1,1,1,"Evangelical Protestant",0,1.32089965762727,1,0,1,2,0
"912",0,35,2,0,3,"Never Permit","No to Both",1,1,0,1,0,NA,2,0,0,0,0,3,0,0,1,1,2,0,"Evangelical Protestant - Ambiguous",0,0.588280979443777,1,0,NA,2,1
"914",1,63,NA,0,1,"Not Available","Not Available",1,1,1,1,1,3,6,NA,NA,1,0,4,4,0,NA,NA,0,1,"Evangelical Protestant - Ambiguous",0,0.359927558241957,NA,0,2,6,1
"915",0,48,2,0,4,"Never Permit","No to Both",1,1,0,1,0,3,NA,0,0,0,0,5,0,0,1,1,0,0,"Evangelical Protestant - Ambiguous",0,0.38217389647761,1,0,2,NA,1
"917",1,42,3,0,4,"Always Permit","Yes to Civil Unions",4,0,1,1,1,2,4,0,0,1,1,5,5,0,1,1,2,1,"Mainline Protestant - Ambiguous",1,0.615865646079193,2,3,1,4,1
"918",0,63,3,0,4,"Never Permit","No to Both",1,0,0,0,0,4,3,0,0,0,0,6,0,1,1,1,1,0,"Roman Catholic Church",0,0.530198527738571,2,0,2,3,0
"920",0,56,3,0,4,"Standard GOP Exceptions","Yes to Both",4,0,0,1,0,3,7,1,0,0,1,6,0,0,0,1,2,0,"Mainline Protestant",0,1.63220726431588,2,3,2,7,0
"921",1,52,1,0,0,"Always Permit","No to Both",3,0,0,1,1,2,4,0,1,1,1,0,3,0,1,0,0,0,"Mainline Protestant",0,1.12533481888632,0,2,1,4,0
"926",1,59,3,0,5,"Standard GOP Exceptions","Yes to Civil Unions",1,1,0,0,0,NA,0,0,1,0,0,3,1,0,1,0,0,0,"Evangelical Protestant",0,0.537374686355829,2,0,NA,0,0
"927",0,48,2,0,1,"Standard GOP Exceptions","Yes to Both",1,0,0,1,0,2,5,1,1,0,0,3,0,1,0,0,0,1,"Roman Catholic Church",0,0.430412196389524,1,0,1,5,0
"930",1,32,0,0,0,"Establish Need","Yes to Both",1,1,1,1,1,NA,9,1,1,1,0,0,4,0,0,0,1,1,"Evangelical Protestant",0,0.446023580853239,0,0,NA,9,0
"933",0,33,3,0,4,"Never Permit","Yes to Civil Unions",2,1,0,1,1,4,9,0,1,0,0,4,1,0,1,0,0,0,"Evangelical Protestant",0,2.18828905909173,2,1,2,9,0
"937",0,70,3,0,5,"Never Permit","No to Both",1,1,0,0,0,2,NA,0,0,0,0,6,0,0,1,1,0,0,"Evangelical Protestant - Ambiguous",0,0.588141754732397,2,0,1,NA,1
"938",0,40,3,0,NA,"DK","DK",4,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,"Evangelical Protestant - Ambiguous",0,1.3571873084106,2,3,1,0,1
"939",1,36,3,1,5,"Standard GOP Exceptions","No to Both",1,1,0,0,0,3,2,0,0,0,0,2,2,0,1,1,1,0,"Evangelical Protestant - Ambiguous",1,1.59090038526025,2,0,2,2,1
"940",1,36,1,0,0,"Never Permit","Yes to Both",4,1,0,0,0,0,4,0,1,0,0,0,1,0,1,0,1,1,"Evangelical Protestant",0,0.931130023267326,0,3,0,4,0
"941",0,56,2,0,4,"Standard GOP Exceptions","DK",3,0,1,1,0,NA,10,1,0,1,0,1,2,1,0,0,1,1,"Roman Catholic Church",0,0.106810515760944,1,2,NA,10,0
